index|id|category|city|area|market_name|market_address|shop|pay_list|zone|user|pay_tool
1|10017781|夜市小吃/市場|南投縣|南投市|中興新村第一市場|南投縣南投市光華二路13號|冬冬的店|['台灣 PAY']|中彰投|王淑美|['行動支付']
2|10024014|夜市小吃/市場|南投縣|草屯鎮|草屯鎮公有零售市場|草屯鎮和興街55號|鴻興鵝肉|['LINE PAY']|中彰投|洪秀宏|['行動支付']
3|10024204|夜市小吃/市場|南投縣|草屯鎮|草屯鎮公有零售市場|草屯鎮和興街55號|Mina wdding Studio|['LINE PAY']|中彰投|鄭涵文|['行動支付']
4|10024237|夜市小吃/市場|南投縣|草屯鎮|草屯鎮公有零售市場|草屯鎮和興街55號|cindy臉部經絡美容|['LINE PAY']|中彰投|李佳育|['行動支付']
5|10024348|夜市小吃/市場|南投縣|草屯鎮|草屯鎮公有零售市場|草屯鎮和興街55號|福蘭軒普洱茶|['LINE PAY']|中彰投|甘惠如|['行動支付']
6|10024637|夜市小吃/市場|南投縣|草屯鎮|草屯鎮公有零售市場|草屯鎮和興街55號|馨漾工作室|['(線上刷卡)']|中彰投|李孟純|['信用卡']
7|10024715|夜市小吃/市場|南投縣|草屯鎮|草屯鎮公有零售市場|草屯鎮和興街55號|茂川肉舖|['(線上刷卡)', 'LINE PAY', '台灣 PAY']|中彰投|洪崇富|['信用卡', '行動支付']
8|20015089|['夜市小吃/市場', '餐飲']|南投縣|竹山鎮|['未分類其他娛樂及休閒服務', '未分類其他食品、飲料及菸草製品零售', '麵店、小吃店']|南投縣竹山鎮延平里東鄉路１－６７號|雅築園|['LINE PAY']|中彰投|林炘讚|['行動支付']
9|20041000|['糕餅', '夜市小吃/市場']|南投縣|魚池鄉|['陶瓷器皿及餐具零售', '茶葉零售', '糖果餅乾零售']|南投縣魚池鄉大雁村大雁巷４２－２號|正美茶棧|['LINE PAY', '街口支付']|中彰投|陳秋坤|['行動支付']
10|30000309|夜市小吃/市場|南投縣|南投市|中興新村第一市場|南投縣南投市光華二路13號|冬冬的店|['台灣 PAY']|中彰投|王淑美|['行動支付']
11|30000764|夜市小吃/市場|南投縣|草屯鎮|草屯鎮公有零售市場|草屯鎮和興街55號|鴻興鵝肉|['LINE PAY']|中彰投|洪秀宏|['行動支付']
12|30000947|夜市小吃/市場|南投縣|草屯鎮|草屯鎮公有零售市場|草屯鎮和興街55號|馨漾工作室|['(線上刷卡)']|中彰投|李孟純|['信用卡']
13|30001343|夜市小吃/市場|南投縣|草屯鎮|草屯鎮公有零售市場|草屯鎮和興街55號|茂川肉舖|['(線上刷卡)', '台灣 PAY', 'LINE PAY']|中彰投|洪崇富|['行動支付', '信用卡']
14|30027676|夜市小吃/市場|南投縣|南投市|中興新村第一市場|南投縣南投市光華二路13號|老山羊素食麵|['LINE PAY']|中彰投|陳品全|['行動支付']
15|30029726|夜市小吃/市場|南投縣|南投市|中興新村第三市場|南投縣南投市光榮西路13號|小吃|['LINE PAY']|中彰投|高士益|['行動支付']
16|30034267|夜市小吃/市場|南投縣|草屯鎮|草屯鎮公有零售市場|草屯鎮和興街55號|Mina wdding Studio|['LINE PAY']|中彰投|鄭涵文|['行動支付']
17|30034301|夜市小吃/市場|南投縣|草屯鎮|草屯鎮公有零售市場|草屯鎮和興街55號|cindy臉部經絡美容|['LINE PAY']|中彰投|李佳育|['行動支付']
18|30034411|夜市小吃/市場|南投縣|草屯鎮|草屯鎮公有零售市場|草屯鎮和興街55號|福蘭軒普洱茶|['LINE PAY']|中彰投|甘惠如|['行動支付']
19|30034422|夜市小吃/市場|南投縣|草屯鎮|草屯鎮公有零售市場|草屯鎮和興街55號|赤爓紋身|['台灣 PAY']|中彰投|林世彬|['行動支付']
20|50000424|['夜市小吃/市場', '餐飲']|南投縣|埔里鎮|['未分類其他娛樂及休閒服務', '未分類其他食品、飲料及菸草製品零售', '旅館', '餐館、餐廳']|南投縣埔里鎮牛眠里中正路１０７６號|全明開發股份有限公司森山分公司|['台灣 PAY']|中彰投|孫宏鈞|['行動支付']
21|50000860|['夜市小吃/市場', '餐飲']|南投縣|埔里鎮|['超級市場', '旅館', '其他服裝及其配件零售', '餐館、餐廳']|南投縣埔里鎮廣成里永豐路１２號|全明開發股份有限公司平雲山都分公司|['台灣 PAY']|中彰投|孫宏鈞|['行動支付']
